sno,sna,tot,sbi,sarea,mday,lat,lng,ar,bemp,act
1,捷運市政府站(3號出口),180,139,信義區,2017-10-09T03:19:35Z,25.0408578889,121.567904444,忠孝東路/松仁路(東南側),41,1
2,捷運國父紀念館站(2號出口),48,31,大安區,2017-10-09T03:19:31Z,25.041254,121.55742,忠孝東路四段/光復南路口(西南側),17,1
3,台北市政府,40,13,信義區,2017-10-09T03:19:39Z,25.0377972222,121.565169444,台北市政府東門(松智路),26,1
4,市民廣場,60,34,信義區,2017-10-09T03:19:40Z,25.0360361111,121.562325,市府路/松壽路(西北側),26,1
5,興雅國中,60,36,信義區,2017-10-09T03:19:39Z,25.0365638889,121.5686639,松仁路/松仁路95巷(東南側),24,1
6,世貿二館,80,0,信義區,2017-09-08T00:43:45Z,25.0347361111,121.565658333,松智路/松廉路(東北側),0,0
7,信義廣場(台北101),80,24,信義區,2017-10-09T03:19:39Z,25.0330388889,121.565619444,松智路/信義路(東北側),54,1
8,世貿三館,60,42,信義區,2017-10-09T03:19:22Z,25.0352138889,121.563688889,市府路/松壽路(東南側),18,1
9,松德站,40,23,信義區,2017-10-09T03:19:19Z,25.03159,121.574353,台北市信義區松德路300號,16,1
10,台北市災害應變中心,54,30,信義區,2017-10-09T03:19:44Z,25.0286611111,121.566116667,台北市信義區莊敬路391巷11弄2號,24,1
11,三張犁,66,11,信義區,2017-10-09T03:19:18Z,25.034937,121.55762,光復南路/基隆路一段364巷,55,1
12,臺北醫學大學,48,34,信義區,2017-10-09T03:19:20Z,25.026679,121.561747,台北醫學大學(吳興街220巷59弄),14,1
13,福德公園,58,30,信義區,2017-10-09T03:19:43Z,25.03809,121.58367,大道路/福德街路口北西側,28,1
14,榮星花園,32,21,中山區,2017-10-09T03:19:24Z,25.06424,121.54037,五常街/龍江路口(西南側),11,1
15,饒河夜市,60,16,松山區,2017-10-09T03:19:43Z,25.049413,121.572043,八德路四段568號南側對面人行道,42,1
16,松山家商,48,1,信義區,2017-10-09T03:19:21Z,25.036084,121.579135,林口街/福德街(東南側),45,1
17,民生光復路口,34,5,松山區,2017-10-09T03:19:27Z,25.05862,121.55514,光復北路/民生東路(西北側),29,1
18,臺北市藝文推廣處,38,9,松山區,2017-10-09T03:19:30Z,25.048268,121.552278,八德路三段25號前,28,1
19,中強公園,30,12,信義區,2017-10-09T03:19:24Z,25.02863,121.56981,松仁路153巷17號對面,18,1
20,捷運科技大樓站,70,53,大安區,2017-10-09T03:19:21Z,25.025896,121.543293,科技大樓站對面(復興南路2段西側),16,1
21,民生敦化路口,66,21,松山區,2017-10-09T03:19:16Z,25.057985,121.548982,敦化民生路口公車站旁,45,1
22,松山車站,44,21,信義區,2017-10-09T03:19:36Z,25.048616,121.578095,松山車站西出口外自行車格內,23,1
23,東新國小,32,22,南港區,2017-10-09T03:19:31Z,25.055074,121.602798,東新國小側門(東明街62號前),10,1
24,信義建國路口,46,22,大安區,2017-10-09T03:19:35Z,25.03293,121.53747,信義路三段/建國南路二段(西南側),23,1
25,永吉松信路口,30,1,信義區,2017-10-09T03:19:42Z,25.04543,121.57205,松信路/永吉路南西側人行道,29,1
26,捷運昆陽站(1號出口),42,22,南港區,2017-10-09T03:19:38Z,25.050142,121.592375,捷運昆陽站1號出口外停車場旁,20,1
27,捷運南港展覽館站(5號出口),42,13,南港區,2017-10-09T03:19:18Z,25.05469,121.61669,研究院路/市民大道(東北側),28,1
28,五常公園,32,13,信義區,2017-10-09T03:19:34Z,25.04814,121.57467,松隆路/虎林街30巷口(西南側),19,1
29,金山愛國路口,54,24,大安區,2017-10-09T03:19:27Z,25.03164,121.52655,愛國東路/金山南路(西南側),29,1
30,基隆長興路口,74,20,大安區,2017-10-09T03:19:16Z,25.017054,121.544352,基隆路/長興街(東南側),54,1
31,辛亥新生路口,30,13,大安區,2017-10-09T03:19:21Z,25.022413,121.53456,辛亥路/新生南路(高架橋下),17,1
32,捷運六張犁站,38,22,大安區,2017-10-09T03:19:21Z,25.023884,121.553161,捷運出口外和平東路側,16,1
33,中崙高中,46,29,松山區,2017-10-09T03:17:41Z,25.04878,121.56087,八德路四段91巷(中崙高中)旁,17,1
34,捷運行天宮站(1號出口),32,15,中山區,2017-10-09T03:19:21Z,25.058369,121.532934,捷運行天宮1號出口後方(松江路側),16,1
35,捷運行天宮站(3號出口),30,18,中山區,2017-10-09T03:19:38Z,25.059978,121.533302,捷運行天宮站3號出口站外,11,1
36,臺大資訊大樓,72,46,大安區,2017-10-09T03:19:27Z,25.02101,121.54153,辛亥路二段(臺大外語學院外),26,1
37,捷運東門站(4號出口),46,20,大安區,2017-10-09T03:19:27Z,25.0337,121.528988,信義路/麗水街口,26,1
38,臺灣師範大學(圖書館),34,12,大安區,2017-10-09T03:19:27Z,25.02665,121.52889,和平東路/師大路口(北側),22,1
39,南港世貿公園,26,14,南港區,2017-10-09T03:19:35Z,25.058,121.61422,三重路/經貿二路88巷(東北側),12,1
40,玉成公園,34,15,南港區,2017-10-09T03:19:35Z,25.04287,121.5864,玉成街247號前,19,1
41,中研公園,30,15,南港區,2017-10-09T03:19:36Z,25.047425,121.613706,研究院路二段12巷/研究院路二段12巷58弄(西南側),15,1
42,捷運後山埤站(1號出口),38,30,信義區,2017-10-09T03:19:17Z,25.04431,121.58174,中坡北路/忠孝東路五段(西北側),8,1
43,凌雲市場,36,17,南港區,2017-10-09T03:19:31Z,25.035639,121.614154,研究院路三段68巷/凌雲街(東北側),18,1
44,捷運南港軟體園區站(2號出口),36,20,南港區,2017-10-09T03:19:43Z,25.05973,121.616187,捷運南港軟體園區站2號出口外,16,1
45,捷運公館站(2號出口),30,2,大安區,2017-10-09T03:19:43Z,25.01476,121.534538,羅斯福路四段/舟山路(東北側),28,1
46,南港國小,44,23,南港區,2017-10-09T03:19:29Z,25.05646,121.61102700000001,惠民街/興東街(南側停車場),21,1
47,捷運忠孝新生站(3號出口),36,14,大安區,2017-10-09T03:19:29Z,25.041924,121.533862,捷運忠孝新生站(3號出口),21,1
48,南港車站(忠孝東路),38,21,南港區,2017-10-09T03:19:27Z,25.05247,121.608202,忠孝東路七段與忠孝東路七段415巷交叉口,17,1
49,龍門廣場,52,11,大安區,2017-10-09T03:19:32Z,25.040901,121.548252,忠孝東路/敦化南路(西南側廣場）,41,1
50,民權運動公園,52,35,松山區,2017-10-09T03:19:33Z,25.062002,121.560186,民權東路四段/新中街交叉口,17,1
51,建國農安街口,44,32,中山區,2017-10-09T03:19:28Z,25.065031,121.536775,建國北路/農安街口(中油旁邊空地),12,1
52,建國長春路口,30,11,中山區,2017-10-09T03:19:43Z,25.054761,121.536925,建國北路/長春路口(北側),19,1
53,八德市場,26,7,中山區,2017-10-09T03:19:41Z,25.044781,121.536609,建國南路一段/市民大道交叉口(北側),19,1
54,臺北市立圖書館(總館),30,19,大安區,2017-10-09T03:19:37Z,25.028798,121.538073,建國南路二段/建國南路二段151巷(東北側),11,1
55,臺北田徑場,46,21,松山區,2017-10-09T03:19:27Z,25.049505,121.549408,敦化北路3號,25,1
56,仁愛林森路口,42,22,中正區,2017-10-09T03:19:27Z,25.038954,121.522334,林森南路/仁愛路一段路口(東北側),20,1
57,新生和平路口,46,12,大安區,2017-10-09T03:19:27Z,25.026217,121.53519,新生南路二段/和平東路二段(東北側),34,1
58,捷運善導寺站(1號出口),48,34,中正區,2017-10-09T03:19:24Z,25.045267,121.5222,天津街/忠孝東路一段(東北側),14,1
59,林森公園,32,10,中山區,2017-10-09T03:19:35Z,25.052227,121.525805,林森北路/南京東路一段,22,1
60,中山行政中心,30,6,中山區,2017-10-09T03:19:19Z,25.064317,121.533487,松江路/農安街口,23,1
61,台灣科技大學,46,25,大安區,2017-10-09T03:19:35Z,25.0131,121.539723,基隆路四段/基隆路四段73巷交叉口,21,1
62,南昌公園,34,12,中正區,2017-10-09T03:19:16Z,25.026827,121.520258,和平西路一段/南昌路,21,1
63,仁愛醫院,36,17,大安區,2017-10-09T03:19:16Z,25.037569,121.545632,大安路一段/仁愛路四段,19,1
64,國家圖書館,50,21,中正區,2017-10-09T03:19:19Z,25.037773,121.517029,中山南路/貴陽街口(西南側),28,1
65,青年公園3號出口,38,1,萬華區,2017-10-09T03:19:39Z,25.022725,121.502708,青年路/青年路106巷(東側),36,1
66,師範大學公館校區,42,22,文山區,2017-10-09T03:19:49Z,25.007528,121.537188,師大公館校區校門口(汀州路側),20,1
67,捷運臺大醫院(4號出口),48,10,中正區,2017-10-09T03:19:32Z,25.042973,121.516428,公園路/襄陽路(西南側),37,1
68,國興青年路口,36,17,萬華區,2017-10-09T03:19:21Z,25.025865,121.506536,國興路/青年路(西南側),18,1
69,興豐公園,34,18,文山區,2017-10-09T03:19:33Z,24.999837,121.547778,興隆路二段123巷/興隆路二段(西北側),16,1
70,捷運台北101/世貿站,52,16,信義區,2017-10-09T03:19:17Z,25.032752,121.561645,莊敬路/信義路五段(東南側),36,1
71,捷運信義安和站(4號出口),30,11,大安區,2017-10-09T03:19:17Z,25.032985,121.554204,通化街/信義路四段(西南側),18,1
72,新生長安路口,42,23,中山區,2017-10-09T03:19:36Z,25.048611,121.529346,新生北路一段/長安東路二段交叉口(北側),18,1
73,酒泉延平路口,32,10,大同區,2017-10-09T03:19:40Z,25.072228,121.510195,延平北路四段/酒泉街(西北側),22,1
74,信義連雲街口,40,14,中正區,2017-10-09T03:19:35Z,25.033817,121.530547,信義路二段/連雲街(東北側),26,1
75,基隆光復路口,30,22,信義區,2017-10-09T03:19:35Z,25.0300508,121.557635,基隆路二段/光復南路(東北側),6,1
76,新生長春路口,36,14,中山區,2017-10-09T03:19:27Z,25.056387,121.527522,新生北路二段/新生北路二段68巷交叉口(新生橋下),22,1
77,民生活動中心,32,13,松山區,2017-10-09T03:19:27Z,25.059147,121.56297000000001,民生東路五段/三民路口(西北側),19,1
78,捷運圓山站(2號出口),52,31,大同區,2017-10-09T03:19:20Z,25.071824,121.519287,承德路三段/庫倫街(東南側),21,1
79,捷運民權西路站(3號出口),50,20,大同區,2017-10-09T03:19:42Z,25.061285,121.520205,民權西路70巷37號對面,29,1
80,華江高中,44,16,萬華區,2017-10-09T03:19:38Z,25.02751,121.495869,東園街/東園街35巷(東北側),28,1
81,捷運台電大樓站(2號出口),40,13,大安區,2017-10-09T03:19:20Z,25.020547,121.528552,羅斯福路/辛亥路交叉口(古亭國小前),21,1
82,捷運西門站(3號出口),60,0,中正區,2017-09-30T09:32:40Z,25.041778,121.508693,中華路一段/寶慶路(東南側),0,0
83,捷運大安森林公園站,74,29,大安區,2017-10-09T03:19:30Z,25.033156,121.535161,信義路三段31巷/信義路三段(南側),43,1
84,復華花園新城,38,6,萬華區,2017-10-09T03:19:34Z,25.029705,121.502899,西藏路115號/西藏路(東南側),32,1
85,信義敦化路口,46,19,大安區,2017-10-09T03:19:39Z,25.033362,121.54911,信義路四段/敦化南路一段(東北側),27,1
86,民權復興路口,46,20,松山區,2017-10-09T03:19:43Z,25.062344,121.545138,復興北路/民權東路三段(東北側),26,1
87,捷運大安站,58,28,大安區,2017-10-09T03:19:15Z,25.033078,121.543057,復興南路/信義路三段(西南側),30,1
